62243 [2017-05-28 16:20:10,819] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Inside getObjectFromRepo() function...
62243 [2017-05-28 16:20:10,819] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Locator value is found in properties file for locator key: input_calendar_month
62243 [2017-05-28 16:20:10,819] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Only one locator exists..
62288 [2017-05-28 16:20:10,864] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //select[@class='pika-select pika-select-month']|.//*[@id='pika-title-ze']/div[1]/select[contains(@class,'month')]
62324 [2017-05-28 16:20:10,900] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //select[@class='pika-select pika-select-month']|.//*[@id='pika-title-ze']/div[1]/select[contains(@class,'month')]
62324 [2017-05-28 16:20:10,900] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully located element: input_calendar_month
62389 [2017-05-28 16:20:10,965] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully clicked on: input_calendar_month
62389 [2017-05-28 16:20:10,965] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Inside selectByVisibleText() function...
62389 [2017-05-28 16:20:10,965] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Inside getObjectFromRepo() function...
62389 [2017-05-28 16:20:10,965] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Locator value is found in properties file for locator key: input_calendar_month
62389 [2017-05-28 16:20:10,965] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Only one locator exists..
62426 [2017-05-28 16:20:11,002] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //select[@class='pika-select pika-select-month']|.//*[@id='pika-title-ze']/div[1]/select[contains(@class,'month')]
62456 [2017-05-28 16:20:11,032] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //select[@class='pika-select pika-select-month']|.//*[@id='pika-title-ze']/div[1]/select[contains(@class,'month')]
62456 [2017-05-28 16:20:11,032] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully located element: input_calendar_month
62504 [2017-05-28 16:20:11,080] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Dropdown- input_calendar_month successfully selected by visible text- May
68680 [2017-05-28 16:20:17,256] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //form[@name='spadayForm']//select[@name='dayDifference']
73932 [2017-05-28 16:20:22,508] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Selected the expected value from drop down...
73932 [2017-05-28 16:20:22,508] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Clicking on Webelement..btn_booking_magnet_search
73932 [2017-05-28 16:20:22,508] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Inside getObjectFromRepo() function...
73932 [2017-05-28 16:20:22,508] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Locator value is found in properties file for locator key: btn_booking_magnet_search
73932 [2017-05-28 16:20:22,508] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Only one locator exists..
